LogID,Symptom,Issue,Resolution
113640,Version # (if applicable): V35052 IsScrapBin (please indicate for FSA issue): ARL H682 Child 1 FF W03 and W05 overcommit due to HXVab.. Need help to check Report/UI: Item(s)/ItemGroup(s)/Location(s): Problem Description: 1. Checking is not constrain at HDM_AP_DKM_ARL H6C+8A+GT2 (N3B) Psicapgroup inventory 2. This cap group didnot shown at the VGG Capacity Group Capacity UI/ and the any report related PSI pull but it found in the Capacity Group Mapping (VGG).. Need help to check.,1. Checking is not constrain at HDM_AP_DKM_ARL H6C+8A+GT2 (N3B) Psicapgroup inventory 2. This cap group didnot shown at the VGG Capacity Group Capacity UI/ and the any report related PSI pull but it found in the Capacity Group Mapping (VGG).. Need help to check.,There were some mappings missing for the mentioned VGG. Suggested to create the dummy one as we saw the same for CD6 create earlier and this worked for the user. User confirmed to close the ticket. _________________ 
113641,"Version # (if applicable): 35048 IsScrapBin (please indicate for FSA issue): Report/UI: Item(s)/ItemGroup(s)/Location(s): KM5 Problem Description: PPV requirement, total unrounded requirement and allocation is mis-match. need help","PPV requirement, total unrounded requirement and allocation is mis-match. need help",Resource Requirement Summary Report ALL need enhancement to for VGGPC calculation. Need to remove ResourceConfig dependency while showing data for VGGPC parameter. Separate story is created for this development.
113642,"Version # (if applicable): 35048, 35041 (POR version) IsScrapBin (please indicate for FSA issue): Report/UI: Limiter Chart VGG. MP Loading Item(s)/ItemGroup(s)/Location(s): Problem Description: SRF AP product missing in report although product request is there SIERRA FOREST-COMPUTE-L SRFAP::SIERRA FOREST FCLGA18N C-3 SXN-BOM Y8 - -_Child1",SRF AP product missing in report although product request is there SIERRA FOREST-COMPUTE-L SRFAP::SIERRA FOREST FCLGA18N C-3 SXN-BOM Y8 - -_Child1," RC: VG Group name renamed in KM8, it affected KM5 at the same time Solution: User rename back to original VG Group name and added new group in KM8"
113645,"Version # (if applicable): 35064 IsScrapBin (please indicate for FSA issue): Report/UI: Item(s)/ItemGroup(s)/Location(s): Problem Description: Run st6 to SNR C prd, limiter chart no able to response PC in week 30, is it because of no SS or other root cause please help to check?","Run st6 to SNR C prd, limiter chart no able to response PC in week 30, is it because of no SS or other root cause please help to check?","Ww30 is the first week of nonfrozen, and because Assy TPT is 1, solver would not consider to build more capacity on Assy in ww29 which is frozen horizon. For now you can put same capacity target number there, solver will build capacity by response, not by PC, so you will see response> site split. Another way is that you can change the frozen horizon to be 3 weeks and lock ww29 capacity by using strategy 5. Tech team also need to check further if we can enhance the logic."
113646,Version # (if applicable): 35069 IsScrapBin (please indicate for FSA issue): Report/UI: Limiter Chart By VGG Report Item(s)/ItemGroup(s)/Location(s): ADL N081 Problem Description: what is real limiter across horizon ?,what is real limiter across horizon ?,". - Hi Bao Han There has problem on HXVab, no trade ratio generated which cause all the related PSI capgroup usage cannot link with HXVab main tool usage. SS_VGG_HxVab Capcity group against mapped standard item not valid. - As per user request , we are update the mentioned standard item to the capacity group item. - User checked and confirm to close the ticket"
113652,"Version # (if applicable): 35072 IsScrapBin (please indicate for FSA issue): Report/UI: Limiter Chart by VGG Item(s)/ItemGroup(s)/Location(s): Problem Description: CLX SP XCC_PGAT , strategy 6, site response not able to respond based on site split although PC # is there. Site respond push out 10k from Q4 to Q1'25","CLX SP XCC_PGAT , strategy 6, site response not able to respond based on site split although PC # is there. Site respond push out 10k from Q4 to Q1'25", User confirmed that there is no issues.
113654,"Version # (if applicable): 35048 (VGG), 35042 (WIF) IsScrapBin (please indicate for FSA issue): Report/UI: Limiter Chart VGG Item(s)/ItemGroup(s)/Location(s): KM5 Problem Description: RPL P682 Si Prod no capacity showing in W13, need help to check on the root cause","RPL P682 Si Prod no capacity showing in W13, need help to check on the root cause","  The mentioned product is coming as fullbom product but it is supposed to be a fakebom product, please get planning help to move this product to fakebom."
113656,Version # (if applicable): Ver35804 IsScrapBin (please indicate for FSA issue): New C2c out VGG version solve fail Report/UI: Item(s)/ItemGroup(s)/Location(s): Problem Description:,,The trade ratio is all zero for PG8_VGG_CSMg. Standard item is not good. SMDS helped to replace standard item and regenerated VGG capacity and trade ratio.
113657,Version # (if applicable):35042 IsScrapBin (please indicate for FSA issue): Report/UI: Item(s)/ItemGroup(s)/Location(s): Problem Description: WIF run solve fail with error 1) Error In Solve: ATMPS_IE_EC_Calc_SubSolve [Infeasible] : [Infeasible ] (PerfMon| Total  00:00:26.9865820 (ModGen RT: 00:00:23.1911995| CPLEX RT:00:00:03.7953825 ),WIF run solve fail with error 1) Error In Solve: ATMPS_IE_EC_Calc_SubSolve [Infeasible] : [Infeasible ] (PerfMon| Total  00:00:26.9865820 (ModGen RT: 00:00:23.1911995| CPLEX RT:00:00:03.7953825 ),"The vg item Server,Server,GNR-AP-UCC-X3,ASSY 2-TEST ONLY-FINISH,66,1FFW,7529,FCLGA18N,104.5x70.5,Granite Rapids-AP-UCC-X3,REV,AP::270607 mapped to DUMMY_REQ_KM1_37 but this request item is not qual, and vg item having capacity target number in Oct-Dec. If this vg item is needed then you can qual it and rerun solve, thanks."
113669,"Version # (if applicable): 35041 IsScrapBin (please indicate for FSA issue): Report/UI: FSA UI Item(s)/ItemGroup(s)/Location(s): SIERRA FOREST-COMPUTE-L SRFROW::SIERRA FOREST FCLGA18N C-0 QXV-BOM Y8 - -_Child1 SIERRA FOREST-COMPUTE-L SRFROW::SIERRA FOREST FCLGA18N C-0 QXV-BOM Y8 - -_Child3 Problem Description: WW27 commit not visible in Child1, Site Split and Site Response rows are not present in Child1. Would be good to check the rest of item names, but pls prioritize these 2 as we need it for WW27 FSA.","WW27 commit not visible in Child1, Site Split and Site Response rows are not present in Child1. Would be good to check the rest of item names, but pls prioritize these 2 as we need it for WW27 FSA.","  There are no SiteSplit & SiteResponse because ReqItem has no Request, User can create a new version from 35041 and update SiteSplit & SiteResponse since SiteSplit UI. - User was no needed to create a new version, SRF is running under non POR process and the commits are being entered manually on a weekly basis. WW27 commit was entered on WW26.5 via AT Tactical but is not reflected in ATMPs to perform normal FSA activities by Planning. So agreement is to add commit manually in Adjusted Schedule and reconcile."
113673,"Version # (if applicable): 35041 IsScrapBin (please indicate for FSA issue): Report/UI: VGG CAPACITY GROUP CAPACITY Item(s)/ItemGroup(s)/Location(s): Problem Description: ERROR NOT WORKING UI, NOT REFLECTING CHANGES MADE","ERROR NOT WORKING UI, NOT REFLECTING CHANGES MADE"," - After Reinstall ATMPS, User was able to load Vgg Capacity Group Capacity Material and update qty."
113681,Version # (if applicable): V35117 IsScrapBin (please indicate for FSA issue): Report/UI: VGG capacity group capacity Item(s)/ItemGroup(s)/Location(s): Problem Description: Delta:RevisedVGGCapacity-CapUsed(with trade ratio) < 0 . overcommit RPL P2,Delta:RevisedVGGCapacity-CapUsed(with trade ratio) < 0 . overcommit RPL P2," ORE - It has been appeared that the mentioned VGG is a TDI VGG, so VGG capacity and Revised VGG capacity should be the same, AD needs to modify the logic that considered the conversion rule for TDI VGG. AD - Report issue fixed with Enhancement AMCRS-2431."
113687,Version # (if applicable): 35098 IsScrapBin (please indicate for FSA issue): Report/UI: Item(s)/ItemGroup(s)/Location(s): Problem Description: Solve runs more than 1 hr then failed,Solve runs more than 1 hr then failed,"It seems like the solve has been cancelled by the user, please rerun solve. Solve has been completed by turning on the solver flag VGG_SolveByQuarterFlag."
113688,"Version # (if applicable): 35100 IsScrapBin (please indicate for FSA issue): Report/UI: VGG Capacity Group Capacity Item(s)/ItemGroup(s)/Location(s): Problem Description: For PG8_xTO_FM_HMVbb capacity, VGG capacity cannot reflect 6ku on WW35 and WW36. Please help to check.","For PG8_xTO_FM_HMVbb capacity, VGG capacity cannot reflect 6ku on WW35 and WW36. Please help to check."," The capacity is max out , so cannot response to cap target. User confirm to close the pool."
113690,Report/UI: Management summary report ItemGroups: DG2 FC-BGA16E A-1 EXH-BOM P2 8 MB_TEST DG2 FC-BGA16E C-1 GXA-BOM P2 16 MB_TEST Problem Description: Do not have those item groups in Management summary report UI,Do not have those item groups in Management summary report UI," for CTO we only select the FgReqItem type, hence we can see only DG2 FC-BGA16E A-1 EXH-BOM P2 8 MB [A_1] and not DG2 FC-BGA16E A-1 EXH-BOM P2 8 MB_TEST which is the AssySubGrp In report we filter out the _TEST items."
113700,Version # (if applicable): V35143 IsScrapBin (please indicate for FSA issue): RPL LGA S8161 overcommit Report/UI: Resource Requirement conversion report Item(s)/ItemGroup(s)/Location(s): HXVab/PG8 Problem Description: HXVab_RPL S 8+16+1 + HXVaf_RPL S 8+16+1 This two conversion group Tool requirement add up is more than 1 tool PSI inventroy that i have.. Need help to check,HXVab_RPL S 8+16+1 + HXVaf_RPL S 8+16+1 This two conversion group Tool requirement add up is more than 1 tool PSI inventroy that i have.. Need help to check,"There was mapping data issues for capacity conversion group to PSIG, we have manually inserted data in the user version."
113704,"Version # (if applicable): 35137 IsScrapBin (please indicate for FSA issue): Report/UI: Frozen Horizon Item(s)/ItemGroup(s)/Location(s): KM5 Problem Description: Buffer time reduce from 2 to 1, causing all frozen week period reduce 1 week. impacted almost 95% product in KM5, need help","Buffer time reduce from 2 to 1, causing all frozen week period reduce 1 week. impacted almost 95% product in KM5, need help",BufferTime in current version 35137 was showing the value from the Current WW28 which was 1. Ideally the BufferTime should have copied from the last master PORed version 35033 for its current week WW26 (means current WW to current WW) but the system copied the buffer time for whole horizon where it was 1 in other workweeks except WW26. We have corrected the data from backend and users are advised to proceed further. CIP has been raised to correct the logic.
113728,Version # (if applicable):v35137 IsScrapBin (please indicate for FSA issue): During Jul SDA version we hv GNR HCC SDA Response for AAP BOM but in ww28 FSA version we did not see any site response for above BOM Report/UI: Item(s)/ItemGroup(s)/Location(s): Problem Description:,, RC: Merged BOM Previous Commit quantity not updated in table Stage_DS_IDP_Asbly_Tst_Cmt
113738,"Version # (if applicable): #34499 IsScrapBin (please indicate for FSA issue): Report/UI: ""Resource Requirement Summary Report(All)"" Item(s)/ItemGroup(s)/Location(s): Problem Description: Conversion Group ""HMVbb: ADL S"" containing common name ""ADL S 8+8+1"" &""ADL S 6+0+1"" in offline report. We re-pulled the data, and the conversion group changed its name to ""HMVbb: ADL/RPL PS"". Pls help to check","Conversion Group ""HMVbb: ADL S"" containing common name ""ADL S 8+8+1"" &""ADL S 6+0+1"" in offline report. We re-pulled the data, and the conversion group changed its name to ""HMVbb: ADL/RPL PS"". Pls help to check", Root Cause - Modify groups in Conversion Group Mapping UI was done on 2024-06-25 05:07:03.127 This will modify the Conversion group name from HMVbb: ADL S to HMVbb: ADL/RPL PS on the same conversion group id . Hence the solver version will fetch the conversion group name based on the conversion group id . Edit conversion name is as per the design and user confirm to close the ticket.
113755,"Version # (if applicable): #35135 IsScrapBin (please indicate for FSA issue): Report/UI: ""Resource Requirement Summary Report (All)"" Item(s)/ItemGroup(s)/Location(s): Problem Description: Conversion group ""HXVab: LNL M442 NDRAM"" does not show the operation ""Test_FCM""","Conversion group ""HXVab: LNL M442 NDRAM"" does not show the operation ""Test_FCM""","#1. for the conversion group ""HXVab: LNL M442 NDRAM"", the EUPH is missing for the corresponding VG Item ""CPU MB: LNL M442 Die attach"" and this is because Operation ItemDemandId mapping is missing from VG source system. #2. for the other two VG Items â€œCPU MB: LNL M442 DRAM attach 2x16GBâ€ & â€œCPU MB: LNL M442 DRAM attach 2x8GBâ€, the corresponding conversion groups are not mapped with the operation 'TEST_FCM'. You should map them in order to display in the report. User confirmed to close the ticket. - "
113773,Version # (if applicable): 35181 IsScrapBin (please indicate for FSA issue): Report/UI: Site Split UI & Site Cap/Qual UI Item(s)/ItemGroup(s)/Location(s): Samsung _HKMG_16 GB (SS) Problem Description: Site Cap/Qual for Samsung _HKMG_16 GB start WW : 2024 W29 There is Site Split number in WW28 (2.277Ku) in Site Split UI. The cell is not highlighted in Red due to the Start WW miss match with the Site Cap Qual Maintenance. Expected to show the same like Samsung _HKMG_8 GB,Site Cap/Qual for Samsung _HKMG_16 GB start WW : 2024 W29 There is Site Split number in WW28 (2.277Ku) in Site Split UI. The cell is not highlighted in Red due to the Start WW miss match with the Site Cap Qual Maintenance. Expected to show the same like Samsung _HKMG_8 GB," - The issue got fixed upon re-loading. Yet, AD tried to simulate the reported issue but it doesn't get simulated. Informed used to inform incase if the issue persists. User agrees to close the ticket."
113789,Version # (if applicable): IsScrapBin (please indicate for FSA issue): Report/UI: Version Maintenance Item(s)/ItemGroup(s)/Location(s): Problem Description: All the WhatIfs versions created in June disappeared from database and not available in the dropdown menu from any UI either.,All the WhatIfs versions created in June disappeared from database and not available in the dropdown menu from any UI either.," - Hi Thaasyaini Morgan, we have checked some of June month created whatifs versions in multiple UI.it is loading fine. Kindly give us a specific UI Name and Version Id to check. Thanks, Thiru. - Hi Thaasyaini Morgan, In ATCR, We have one auto clean up mechanism, we retention or delete the version and its data based below logic. 1. For PORed/Official/SDA Official version it will keep there forever until user make changes on the version type or Un-PORed. 2. For â€œDo NOT Deleteâ€, the retention period will be 2 months. After 2 months it will deleted. 3. For â€œWhatIfâ€ Version Or â€œRegularâ€ Version , the retention period is 1 months. After 1 months it will deleted if Didnâ€™t mark as â€œDo Not Deleteâ€ Due to retention period of 1 months, the given version's (34902,34964) are already deleted. Thanks, Thiru. - user confirmed to close the pool"
114798,"Version # (if applicable): 35187 IsScrapBin (please indicate for FSA issue): Report/UI: Resource Requirement Summary Report (All) Item(s)/ItemGroup(s)/Location(s): KM8 Problem Description: 1) VGG PC run out lesser than WIF PC for PPV Only NSB VanguardGroupName. 2) RRS Report shows all the requirements are unsupportable for HSXa, HXVab and HBIa L2 Resources.","1) VGG PC run out lesser than WIF PC for PPV Only NSB VanguardGroupName. 2) RRS Report shows all the requirements are unsupportable for HSXa, HXVab and HBIa L2 Resources."," Some of the L2 VGGs having invalid std item. Bee Ling is working with user to have a good setup to run solve. Close ticket as user fixed std item and will use new version, tech team offline work with user to complete a good solve."
114799,Version # (if applicable):v35041 IsScrapBin (please indicate for FSA issue): BOM H-16 GNY is belong to GNR HCC DE. what is the OneMPS set-up for this BOM? GNR HCC or GNR HCC DE? Report/UI: Item(s)/ItemGroup(s)/Location(s): Problem Description:,,"per the , data that comes from ATCR from OneMPS is GRANITE RAPIDS-COMPUTE-M GNRDHCC, there is no HCC DE. No issue. This is correct setup"
114807,Version # (if applicable): 35214 IsScrapBin (please indicate for FSA issue): Report/UI: Resource Requirement Summary Report (ALL) Item(s)/ItemGroup(s)/Location(s): Problem Description: Why the tool req for FM44 NSM is not showing up in RRS report under LCBb_APN_FM conversion group? Please help to check.,Why the tool req for FM44 NSM is not showing up in RRS report under LCBb_APN_FM conversion group? Please help to check., Root Cause - The conversion group LCBb_APN_FM for the version 35214 not mapped to Vanguard Group FM 44 Assy-Test. Hence we consider the NSM only from FM 86 Assy-Test and FM 860 Assy-Test
114811,"Version # (if applicable): 35181 IsScrapBin (please indicate for FSA issue): Report/UI: MP Loading Item(s)/ItemGroup(s)/Location(s): Problem Description: GNR AP UCC [GRANITE RAPIDS-COMPUTE-M GNRUCC::GRANITE RAPIDS FCLGA18N H-16 AAH-BOM Y8 - -] for W29'24 OOC version found out that certain weeks (W39-W41) got data mismatch as compared to Jul'24 SDA causing the shortage of 13.8Ku. Please help to check what is the cause of this, thank you.","GNR AP UCC [GRANITE RAPIDS-COMPUTE-M GNRUCC::GRANITE RAPIDS FCLGA18N H-16 AAH-BOM Y8 - -] for W29'24 OOC version found out that certain weeks (W39-W41) got data mismatch as compared to Jul'24 SDA causing the shortage of 13.8Ku. Please help to check what is the cause of this, thank you.","Similar to the Pool 113728. We didn't have the Prev Commit, that's why there was no site response. We noticed that user has updated the site response in new version v35212 and all the data seems to be correct now. User confirmed to close the ticket. - "
114816,"Version # (if applicable): 35226 IsScrapBin (please indicate for FSA issue): Report/UI: Resource Requirement Summary Report (ALL) Item(s)/ItemGroup(s)/Location(s): Problem Description: URAa tool requirement is max out on WW11. FM44 consumed 3.094 tools. There is no cap target secure for FM44 on the same week, why there is PC for FM44 on this ww. Please help to check.","URAa tool requirement is max out on WW11. FM44 consumed 3.094 tools. There is no cap target secure for FM44 on the same week, why there is PC for FM44 on this ww. Please help to check.","  As discussed, there is capacity generated on WW13 (strategy is st6) so assembly tool consumed on WW11 as there is 2 weeks of assy TPT, there is no site response as there is no site split on both Assy-Test or Finish boms."
114824,"Version # (if applicable): 35048 IsScrapBin (please indicate for FSA issue): Report/UI: RRS (All) Item(s)/ItemGroup(s)/Location(s): KM5 Problem Description: Total Requirement (rounded) + Total Conversion exceeded the physical inv create some confusion on inv unallocated, need help to check","Total Requirement (rounded) + Total Conversion exceeded the physical inv create some confusion on inv unallocated, need help to check","  Tool requirement incremental is not used to calculate the conversion loss for those conversion groups that has no qualified request items in solver logic. So solver logic and report logic are not in sync, need SWE help to fix the report. Bee Ling: this is the design. you can change the qual start date if you want it to be considered by the solver. User will submit the enhancement request, closing the pool."
114862,"Version # (if applicable):35212 IsScrapBin (please indicate for FSA issue): Report/UI: MP Loading Item(s)/ItemGroup(s)/Location(s): All Problem Description: There was a change in Site response for this 2 BOMs: ""SIERRA FOREST-COMPUTE-L SRFROW1S::SIERRA FOREST FCLGA18N C-0 QXV-BOM Y8 - -_Child1"" and ""SIERRA FOREST-COMPUTE-L SRFROW1S::SIERRA FOREST FCLGA18N C-1 QXV-BOM Y8 - -_Child1"" in W34 which not updated by IE and also PLG. could you please help to check why this Site response become 1.176ku and 0.254ku in W34?","There was a change in Site response for this 2 BOMs: ""SIERRA FOREST-COMPUTE-L SRFROW1S::SIERRA FOREST FCLGA18N C-0 QXV-BOM Y8 - -_Child1"" and ""SIERRA FOREST-COMPUTE-L SRFROW1S::SIERRA FOREST FCLGA18N C-1 QXV-BOM Y8 - -_Child1"" in W34 which not updated by IE and also PLG. could you please help to check why this Site response become 1.176ku and 0.254ku in W34?"," - Upon , the Site Response value in WW34 was updated by below <Wan Mohd Tahir, Wan Noor Rizal>. User agrees to close the ticket."
114863,Version # (if applicable): Data Staging IsScrapBin (please indicate for FSA issue): Report/UI: Capcity Resource Parameter (PSI) UI Item(s)/ItemGroup(s)/Location(s): Problem Description: NSMHours is Incorrect.Looks like double capture compared to tool requirement from VanGUARD. Last pull from VG is on week31.1 night. No changes in VG after that timing. Example is in week34.Please refer attached.,NSMHours is Incorrect.Looks like double capture compared to tool requirement from VanGUARD. Last pull from VG is on week31.1 night. No changes in VG after that timing. Example is in week34.Please refer attached., Please reload the report as we can see the correct NSM values for 'PACE_36484_TEST_FC' and 'PACE_36484_TEST_PBIC'. According to the latest logs we see that the VG MCS load was done on 29th with CIP for PG8 and data base is having the correct values. We will take back up for WW31.1 and see the data for any issues. VG load had wrong data until 26th and VG MCS loaded on 29th two times. Followed by CIP and processing have fixed the issue. User confirm to close the POOL .
114868,"Version # (if applicable): 35108 IsScrapBin (please indicate for FSA issue): Report/UI: Item(s)/ItemGroup(s)/Location(s): Problem Description: There are two TDI ID for CTT L2Resource: 14470 and 12812. User only created 12812, and now 14470 appeared and is showing both in TDI report. Vanguard now is only showing 14470.","There are two TDI ID for CTT L2Resource: 14470 and 12812. User only created 12812, and now 14470 appeared and is showing both in TDI report. Vanguard now is only showing 14470."," - Mapping of both ResourceConfig is received from VG, user will discuss with IE team to choose which one to keep. - User must unassign 12812 TDI ID from the Vanguard System."
114880,"Version # (if applicable): Data Staging IsScrapBin (please indicate for FSA issue): Report/UI: Load Data UI , Pull from VG/MCS Item(s)/ItemGroup(s)/Location(s): Problem Description: not complete more than 8 hours, still In progress","not complete more than 8 hours, still In progress", the VG/MCS data pull was successful.
114881,"Version # (if applicable): data staging IsScrapBin (please indicate for FSA issue): Report/UI: Capacity Group Mapping (VGG) Item(s)/ItemGroup(s)/Location(s): Problem Description: When create EBOd TDI in capacity group (VGG), It will auto duplicate in KM5 and VF site. Valid?","When create EBOd TDI in capacity group (VGG), It will auto duplicate in KM5 and VF site. Valid?"," RC: Adj function return data contains location VF and KM5 Solution: remove location partition, get the latest location row"
114882,"Version # (if applicable): V35253 Datapre version IsScrapBin (please indicate for FSA issue): Found that the product priority is not copy over from last master version it still shown 5 inQ4'24 and Q1'25 Report/UI: Product priority Item(s)/ItemGroup(s)/Location(s): Problem Description: Done manual adjust in the data prep version, but need help to check to avoid happing again","Done manual adjust in the data prep version, but need help to check to avoid happing again","User confirmed to close the ticket. - Hi CH, as we discussed in call that the product priority copied over from the last PORed version 35247 where the values are 5. And that version got the default values are 5 since the last OOC version 35224 doesn't have the values for Q4'24 and Q1'25. Please let us know if we can close the ticket. - "
114886,Version # (if applicable): ATMPS DS IsScrapBin (please indicate for FSA issue): Report/UI: Item(s)/ItemGroup(s)/Location(s): Problem Description: No VanguardItem Redondo Lake Auto Si in ATMPS DS even there is HVM Full (ItemID: 39808)/HVM MOR (ItemID: 39179) item from Vanguard,No VanguardItem Redondo Lake Auto Si in ATMPS DS even there is HVM Full (ItemID: 39808)/HVM MOR (ItemID: 39179) item from Vanguard, The recent VG MCS load have fixed the issue. User confirm to close the pool.
